pe_cycles,temperature,retention_days,wear_level,ecc_correction_history,optimal_voltage_shift_mv
860,57.03865602658869,337.172075832155,17.2,6.6225299108921964,40.25889474300359
3772,30.895428099101085,235.06443775501253,75.44,32.80333203537599,78.22473871750876
3092,74.45423394777205,308.0421237723543,61.839999999999996,21.168648153766583,70.87498108886722
466,82.44810712310625,202.68398508341852,9.32,3.6924586180462056,26.383818411000874
4426,22.65766133689352,168.85996849645707,88.52,34.385552281013034,81.85535588975894
3444,25.072071592500595,192.8942513662399,68.88,27.060596838581972,69.22333051208045
3171,77.5070927154467,116.88230548402285,63.42,25.01584651545318,61.73026097489473
2919,73.01089651208834,240.15992271273385,58.379999999999995,24.638343156500458,66.62621896539696
130,60.16573960823409,327.46883910979824,2.6,0.6691288709519447,27.541126496223654
1685,81.42273858409897,285.55900796804343,33.7,13.129739181328917,50.557517698774994
769,62.01798756948021,168.63000391910916,15.379999999999999,9.635859275811152,27.542835337880298
2391,34.039042922417714,348.18046632684803,47.82,16.688023805872966,66.41655999908271
2433,67.36175104159851,359.67942935311004,48.66,17.2922910522652,65.76470777604156
1184,61.97117240846642,179.98172255152312,23.68,13.186543293939824,34.513964778564116
4555,84.0734056306519,315.59354207916516,91.10000000000001,39.857855695388885,102.68041923839985
3385,33.90322286436147,1.74114350501558,67.7,23.493194070803803,55.06378741238995
4117,58.86252086356893,24.329290987535813,82.34,37.222072931851265,68.70193705039094
4843,70.71088894463296,8.172134259003949,96.86,39.90187742142457,75.95433769477893
2904,42.0339008069811,282.2044940318818,58.08,21.81493219592583,68.38577731772573
474,44.67917290138545,29.11937567678074,9.48,3.802958523453021,11.275700862649558
1082,77.71361949134084,6.223449313425171,21.64,7.7970486665369325,21.28186402565526
2558,46.272667174577286,53.807852274669735,51.160000000000004,20.46531028763523,40.82168595194658
2047,60.60763537321494,111.79759882396843,40.94,15.546009801101489,39.68172428971604
2747,77.80047893924366,169.6157488925718,54.94,19.62113838318203,53.67155881428283
975,33.63872790088649,23.872198921382747,19.5,5.156350396366406,20.122529079866034
1806,83.82202426291937,182.1285152460871,36.120000000000005,14.878358482543394,47.19628270346992
189,65.62697970807118,90.54243328127913,3.7800000000000002,0.0,10.757185256213145
2734,52.24791011919391,100.14559571063212,54.67999999999999,19.024651213054597,48.99949595777884
3005,48.00983668281485,299.99432185147,60.099999999999994,25.103018177685254,73.19528755865628
4658,82.0337000108478,360.2271052591035,93.16,38.3057420871238,104.09901264197265
1899,33.37211378942831,169.31037068049042,37.980000000000004,16.23486105288726,48.238218877034136
1267,40.259411694987485,117.4463037313912,25.34,10.291672233504588,27.542218783780843
1528,40.006529110615105,339.9785842982426,30.56,10.470845551007118,51.37634159753984
3202,38.78541175774012,182.6636829602055,64.03999999999999,28.02305018597892,64.56943246018048
3556,50.4549729390198,266.5790534809633,71.12,30.210877099974976,78.38210316162304
3890,84.29665016240915,151.01511130035757,77.8,35.57868900295783,76.70477697963983
646,77.77113983655413,73.93023084522821,12.920000000000002,7.688662353236349,18.358862159998928
2888,41.3167219408966,239.03306608718339,57.76,23.74096577170625,64.75424871839127
2435,47.48655752245895,242.66756708090273,48.699999999999996,23.013200034707726,56.895862326098126
600,63.516248515085536,167.967105278817,12.0,4.9477602529574645,20.65736422700911
2363,21.114859245279916,98.53161680450528,47.260000000000005,19.068180571330462,41.63412072110884
2061,73.30998781456711,303.6119246029033,41.22,16.393228489694216,56.73174756143296
241,77.18687372527476,100.49111540073574,4.82,0.919920666973435,16.422029920656744
2041,75.71802173109471,240.54375498737915,40.82,20.778966897103587,46.571511517017804
2824,44.37853514755985,140.15475272083432,56.48,20.929969002285414,57.077042500974336
2612,50.029967978673525,172.45544744727124,52.239999999999995,17.58066987657648,56.72401484491112
1363,20.80524092374413,77.1619714476723,27.26,9.971337333720388,26.079610901260914
1478,45.96069762283081,237.06018009996833,29.56,12.554531747219466,48.68518033540425
2556,49.927743453829095,82.42642927100246,51.12,19.366136750386556,47.692452513659894
775,78.95332904945111,177.28562701177898,15.5,5.488917553882886,29.687998617715746
4014,78.10919879422107,119.88767849843845,80.28,28.269923777760184,72.4383910568133
34,82.79630916571412,351.7160924663869,0.6799999999999999,0.0,26.474524244848226
3152,77.53182403088383,358.5107000011448,63.04,22.579563297171116,77.10961601668505
1955,20.533046112796963,275.02432717838593,39.1,17.314648108233065,49.77338637050173
1585,61.694955401594285,359.1298856219919,31.7,9.878251279081088,56.9526372951105
3943,24.435449401697653,41.4459846248244,78.86,30.24431365738671,61.85763490462074
3073,37.71862861469905,362.19849871490896,61.46,24.205832563191585,77.48335748220155
1021,57.58999591558772,37.79790947535812,20.419999999999998,6.0107070336649215,15.780037865708426
3461,65.53989819649003,151.63989739286697,69.22,28.23994922130713,70.76111252129985
2613,62.55108168461119,87.2158631063756,52.26,21.80384486604031,50.81975731945466
3843,23.18879388156181,348.1537766428948,76.86,33.66776361105638,86.35026398214397
1500,26.734251522020884,232.06332620168664,30.0,12.005428124429852,40.68587503776092
4798,28.35814284053277,217.95154984555623,95.96000000000001,34.15251688374646,93.04000293731451
161,25.941934490029922,364.06505428387425,3.2199999999999998,0.1337203685903372,31.025707851733276
4297,31.585237512505948,223.5355279201252,85.94000000000001,33.80732359333521,82.02603084408092
1981,64.75170643525135,235.84835654165235,39.62,18.425591253971337,50.48546838743646
995,74.00442132534494,16.342619243317042,19.900000000000002,7.503207450195439,23.582740091338806
